"","CZ_TIMEZONE","BEGIN_DATE_TIME","BEGIN_DATETIME","BEGIN_YMDHMS_UTC","BEGIN_TIME_DIFF","END_DATE_TIME","END_DATETIME","END_YMDHMS_UTC","END_TIME_DIFF"
"1","AKST","01-FEB-07 00:00:00",2007-02-01 00:00:00,NA,NA,"02-FEB-07 13:00:00",2007-02-02 13:00:00,2007-02-02 19:00:00,0
"2","AKST","15-DEC-10 00:53:00",2010-12-15 00:53:00,NA,NA,"15-DEC-10 17:00:00",2010-12-15 17:00:00,2010-12-15 23:00:00,0
"3","AST","20-SEP-93 22:00:00",1993-09-20 22:00:00,1993-09-21 03:00:00,0,"20-SEP-93 22:00:00",1993-09-20 22:00:00,1993-09-21 03:00:00,0
"4","AST","13-NOV-10 17:00:00",2010-11-13 17:00:00,2010-11-13 23:00:00,0,"13-NOV-10 17:00:00",2010-11-13 17:00:00,2010-11-13 23:00:00,0
"5","CDT","27-JUN-56 15:23:00",1956-06-27 15:23:00,1956-06-27 20:23:00,0,"27-JUN-56 15:23:00",1956-06-27 15:23:00,1956-06-27 20:23:00,0
"6","CDT","20-APR-95 15:25:00",1995-04-20 15:25:00,1995-04-20 20:25:00,0,"20-APR-95 15:25:00",1995-04-20 15:25:00,1995-04-20 20:25:00,0
"7","CST","28-APR-50 14:45:00",1950-04-28 14:45:00,1950-04-28 20:45:00,0,"28-APR-50 14:45:00",1950-04-28 14:45:00,1950-04-28 20:45:00,0
"8","CST","05-AUG-10 11:00:00",2010-08-05 11:00:00,2010-08-05 16:00:00,0,"05-AUG-10 11:05:00",2010-08-05 11:05:00,2010-08-05 16:05:00,0
"9","ChST","11-JUN-97 06:00:00",1997-06-11 06:00:00,1997-06-11 11:00:00,0,"11-JUN-97 18:00:00",1997-06-11 18:00:00,1997-06-11 23:00:00,0
"10","ChST","23-MAR-10 00:00:00",2010-03-23 00:00:00,2010-03-23 05:00:00,0,"24-MAR-10 00:00:00",2010-03-24 00:00:00,2010-03-24 05:00:00,0
"11","EDT","01-JUN-56 11:33:00",1956-06-01 11:33:00,1956-06-01 16:33:00,0,"01-JUN-56 11:33:00",1956-06-01 11:33:00,1956-06-01 16:33:00,0
"12","EDT","13-JUL-95 15:50:00",1995-07-13 15:50:00,1995-07-13 20:50:00,0,"13-JUL-95 16:20:00",1995-07-13 16:20:00,1995-07-13 21:20:00,0
"13","EST","06-APR-54 15:00:00",1954-04-06 15:00:00,1954-04-06 21:00:00,0,"06-APR-54 15:00:00",1954-04-06 15:00:00,1954-04-06 21:00:00,0
"14","EST","05-AUG-10 14:04:00",2010-08-05 14:04:00,2010-08-05 19:04:00,0,"05-AUG-10 14:10:00",2010-08-05 14:10:00,2010-08-05 19:10:00,0
"15","HST","26-NOV-75 22:30:00",1975-11-26 22:30:00,1975-11-27 04:30:00,0,"26-NOV-75 22:30:00",1975-11-26 22:30:00,1975-11-27 04:30:00,0
"16","HST","25-DEC-10 06:00:00",2010-12-25 06:00:00,2010-12-25 12:00:00,0,"26-DEC-10 09:00:00",2010-12-26 09:00:00,2010-12-26 15:00:00,0
"17","MDT","05-MAY-65 14:45:00",1965-05-05 14:45:00,1965-05-05 19:45:00,0,"05-MAY-65 14:45:00",1965-05-05 14:45:00,1965-05-05 19:45:00,0
"18","MDT","01-JUL-95 19:15:00",1995-07-01 19:15:00,1995-07-02 00:15:00,0,"01-JUL-95 19:15:00",1995-07-01 19:15:00,1995-07-02 00:15:00,0
"19","MST","07-JUN-53 15:00:00",1953-06-07 15:00:00,1953-06-07 20:00:00,0,"07-JUN-53 15:00:00",1953-06-07 15:00:00,1953-06-07 20:00:00,0
"20","MST","19-AUG-10 14:30:00",2010-08-19 14:30:00,2010-08-19 19:30:00,0,"19-AUG-10 15:30:00",2010-08-19 15:30:00,2010-08-19 20:30:00,0
"21","PDT","21-JUL-86 13:45:00",1986-07-21 13:45:00,1986-07-21 18:45:00,0,"21-JUL-86 13:45:00",1986-07-21 13:45:00,1986-07-21 18:45:00,0
"22","PDT","01-MAY-95 19:40:00",1995-05-01 19:40:00,1995-05-02 00:40:00,0,"01-MAY-95 19:40:00",1995-05-01 19:40:00,1995-05-02 00:40:00,0
"23","PST","19-MAR-55 19:20:00",1955-03-19 19:20:00,1955-03-20 01:20:00,0,"19-MAR-55 19:20:00",1955-03-19 19:20:00,1955-03-20 01:20:00,0
"24","PST","28-DEC-10 18:00:00",2010-12-28 18:00:00,2010-12-29 00:00:00,0,"29-DEC-10 14:00:00",2010-12-29 14:00:00,2010-12-29 20:00:00,0
"25","SST","01-APR-98 00:00:00",1998-04-01 00:00:00,1998-04-01 06:00:00,0,"30-APR-98 23:59:00",1998-04-30 23:59:00,1998-05-01 04:59:00,0
"26","SST","11-FEB-10 00:00:00",2010-02-11 00:00:00,2010-02-11 06:00:00,0,"13-FEB-10 16:00:00",2010-02-13 16:00:00,2010-02-13 22:00:00,0
